time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/value_loss,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/clip_range,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/loss,train/approx_kl,train/std,train/policy_gradient_loss,train/learning_rate
58,9989,1522,15204352,0.009412682742549805,0.4280582070350647,146.28,456,0.2,0.9971899393200875,0.0731663703918457,-13.045361839234829,-0.13224320113658905,0.0073183817,1.5897135734558105,-0.000606385008268262,0.0003
59,9977,1550,15466496,0.008009395100089023,0.43845194578170776,136.42,464,0.2,0.9830534079670906,0.06934356689453125,-13.092653401196003,-0.13091039657592773,0.0061505153,1.6003056764602661,-0.0005913005916227121,0.0003
60,9967,1578,15728640,0.010469284585269634,0.43524205684661865,153.67,472,0.2,1.0854205077141523,0.07809925079345703,-13.151545450091362,-0.1305888146162033,0.0065574455,1.6162973642349243,-0.00029256211337269633,0.0003
61,9955,1606,15990784,0.010725797059421893,0.5048345029354095,139.55,480,0.2,0.9316081757843494,0.08042430877685547,-13.221241660416126,-0.13348516821861267,0.00683821,1.6344681978225708,-0.0007183317748058471,0.0003
62,9940,1635,16252928,0.010182210528000724,0.5224445760250092,142.38,488,0.2,0.913838577568531,0.07172012329101562,-13.291472017765045,-0.1317983865737915,0.0063893716,1.651689052581787,-0.0006218877547325974,0.0003
63,9928,1663,16515072,0.009333491638244595,0.5366820394992828,133.06,496,0.2,0.8500928017869591,0.07252740859985352,-13.346322357654572,-0.13401322066783905,0.0062611233,1.6643860340118408,-0.0005456107137433719,0.0003
64,9918,1691,16777216,0.011286711080174427,0.5562820136547089,124.59,504,0.2,0.9960652577877045,0.07202434539794922,-13.41681682318449,-0.1355738490819931,0.0064256834,1.6847542524337769,-0.0007995346657025948,0.0003
65,9910,1719,17039360,0.01148417640797561,0.47896963357925415,131.28,512,0.2,0.8573893237113953,0.08552122116088867,-13.505125254392624,-0.13482467830181122,0.00871527,1.7076185941696167,-0.0002898574821301736,0.0003
66,9902,1747,17301504,0.008109119014989119,0.4899560213088989,130.91,520,0.2,0.7969991282373666,0.06830596923828125,-13.560860738158226,-0.1358921080827713,0.007221652,1.718116044998169,-0.0007337103165809822,0.0003
67,9895,1774,17563648,0.010126829267392168,0.4404776692390442,162.29,528,0.2,1.1613493955880403,0.0772700309753418,-13.618989303708076,-0.13585104048252106,0.0070041744,1.7366445064544678,-0.0007964310493662197,0.0003
68,9895,1801,17825792,0.014605351876525674,0.48631489276885986,155.76,536,0.2,1.3508967259526252,0.08893871307373047,-13.69186370819807,-0.13570572435855865,0.007654583,1.756740927696228,-0.0005116323350193852,0.0003
69,9891,1828,18087936,0.01060934772976907,0.47363948822021484,135.57,544,0.2,0.9955417679995299,0.07980918884277344,-13.758214674890041,-0.13906355202198029,0.0067861467,1.7732937335968018,-0.0006840888536316925,0.0003
70,9887,1855,18350080,0.013145105469448026,0.615585446357727,136.56,552,0.2,1.0054540605843068,0.07758855819702148,-13.820122875273228,-0.1387501209974289,0.006149281,1.7922099828720093,-0.0005467288297040795,0.0003
71,9883,1883,18612224,0.010320095392671647,0.5764864087104797,134.41,560,0.2,0.8731609934568405,0.07577323913574219,-13.892052672803402,-0.1392497569322586,0.0068083336,1.811065435409546,-0.0006606490596823278,0.0003
72,9881,1910,18874368,0.011480885645141825,0.6277129650115967,136.74,568,0.2,0.9498634188622236,0.08040285110473633,-13.971119828522205,-0.14113835990428925,0.007434007,1.8346583843231201,-0.0006326128077489557,0.0003
73,9878,1937,19136512,0.011098508257418871,0.4198930859565735,141.23,576,0.2,0.9830263869464397,0.07869243621826172,-14.046290971338749,-0.1411249339580536,0.0068551237,1.8532423973083496,-0.000786857850926026,0.0003
74,9874,1964,19398656,0.00821548409294337,0.513359397649765,146.02,584,0.2,1.1714472414553165,0.06508207321166992,-14.108473531901836,-0.14034517109394073,0.0066397823,1.8712867498397827,-0.000653329274882708,0.0003
75,9869,1992,19660800,0.011745463794795796,0.5687290728092194,137.11,592,0.2,1.1625374841690064,0.09551477432250977,-14.171978756785393,-0.1421443670988083,0.007853588,1.8905632495880127,-0.0006302709548435814,0.0003
76,9865,2019,19922944,0.018321236973861232,0.636140376329422,133.44,600,0.2,0.8431983269006014,0.10774612426757812,-14.24922364205122,-0.14254873991012573,0.009337418,1.9152255058288574,-0.00035256073033451685,0.0003
77,9862,2046,20185088,0.012816930655390024,0.565899133682251,130.91,608,0.2,0.8264656001329422,0.08044958114624023,-14.307725712656975,-0.14300337433815002,0.008626429,1.9263758659362793,-0.0004972503093085834,0.0003
78,9858,2074,20447232,0.012738289791741408,0.5488079190254211,128.03,616,0.2,0.9626685866713524,0.08346128463745117,-14.368060611188412,-0.14290441572666168,0.0071772053,1.9500250816345215,-0.0003136041282232327,0.0003
79,9852,2101,20709376,0.009390707946295151,0.5305624306201935,143.92,624,0.2,1.0501776560395957,0.08675146102905273,-14.439342580735683,-0.1452058106660843,0.007784795,1.9698271751403809,-0.000444928612523654,0.0003
80,9848,2129,20971520,0.011752099308068864,0.4878925085067749,120.52,632,0.2,0.9540846616029739,0.09398508071899414,-14.508050821721554,-0.14472432434558868,0.007967624,1.9919589757919312,-0.0004953305469825864,0.0003
81,9844,2156,21233664,0.011064813297707587,0.474249005317688,112.21,640,0.2,0.8887213058397174,0.0834503173828125,-14.581510566174984,-0.14571645855903625,0.0075500263,2.0118606090545654,-0.0004737919259696355,0.0003
82,9840,2184,21495808,0.01084323990289704,0.5744053721427917,129.15,648,0.2,0.8356299877166748,0.08089447021484375,-14.65491932630539,-0.14635629951953888,0.006567497,2.0346593856811523,-0.0003472798662187415,0.0003
83,9837,2211,21757952,0.017551954100781586,0.6241873502731323,130.78,656,0.2,0.8282778882235289,0.09445047378540039,-14.749410077929497,-0.14636850357055664,0.008649495,2.06622314453125,-0.000653013444662065,0.0003
84,9830,2239,22020096,0.010564232332399115,0.576475590467453,125.57,664,0.2,0.8518377074599266,0.08215093612670898,-14.84341625124216,-0.149068221449852,0.0075466502,2.091783285140991,-0.00033614571157158935,0.0003
85,9826,2267,22282240,0.009595688708941452,0.50689697265625,128.94,672,0.2,0.8344130433350802,0.07632637023925781,-14.915031097829342,-0.14874427020549774,0.007540563,2.112630844116211,-0.0007806578291820188,0.0003
86,9822,2295,22544384,0.015567115384328645,0.573563426733017,126.3,680,0.2,1.0578838173300027,0.09717559814453125,-14.984091766178608,-0.1486162692308426,0.009460662,2.13737154006958,-0.0003348417226334277,0.0003
87,9817,2323,22806528,0.01372277838527225,0.5896643400192261,121.13,688,0.2,0.812772270962596,0.0877528190612793,-15.05967628210783,-0.1523205041885376,0.0074328166,2.160651922225952,-0.000898178815987194,0.0003
88,9811,2351,23068672,0.015438750742760021,0.6430355310440063,136.58,696,0.2,0.8602711591869593,0.10123157501220703,-15.135848768055439,-0.15204286575317383,0.008849626,2.187748908996582,-0.0007029605681054818,0.0003
89,9806,2379,23330816,0.012115431578422431,0.5455004274845123,135.55,704,0.2,0.9785296934843063,0.08574533462524414,-15.207000710070133,-0.1508147418498993,0.008858666,2.209638833999634,-0.0007539301373071794,0.0003
90,9803,2406,23592960,0.016564093275519554,0.6022439897060394,136.83,712,0.2,1.0553962579369545,0.09427595138549805,-15.269887953996658,-0.15279214084148407,0.009452208,2.2322773933410645,-0.0007281601806425897,0.0003
91,9798,2434,23855104,0.016385501126933377,0.555031955242157,141.37,720,0.2,0.9514134481549263,0.10134029388427734,-15.349690444767475,-0.1535390466451645,0.008427847,2.2617735862731934,-0.0005048240600444842,0.0003
92,9794,2462,24117248,0.010842640083865263,0.5528206825256348,141.89,728,0.2,1.071763869896531,0.08859682083129883,-15.423339575529099,-0.15442247688770294,0.007395249,2.283950090408325,-0.0007055693031361443,0.0003
93,9790,2490,24379392,0.015023883308458608,0.5073828101158142,143.65,736,0.2,1.0024083130806685,0.09960412979125977,-15.491855710744858,-0.15516400337219238,0.007044585,2.3097164630889893,-0.00028115442000853363,0.0003
94,9789,2517,24641536,0.015503373790124897,0.5793262720108032,133.2,744,0.2,1.0472182455658912,0.08653974533081055,-15.56569030880928,-0.15398335456848145,0.0074592233,2.3367059230804443,-0.0004646439233511046,0.0003
95,9786,2544,24903680,0.015438468479260337,0.5559170544147491,121.11,752,0.2,0.8071723861247301,0.0889129638671875,-15.631812423467636,-0.15741486847400665,0.008101584,2.3591036796569824,-0.0007171149268287991,0.0003
96,9785,2571,25165824,0.01574804471601965,0.526094526052475,130.16,760,0.2,0.919405789077282,0.08548498153686523,-15.706095196306705,-0.15815967321395874,0.008395971,2.3891868591308594,-0.000803842850473302,0.0003
97,9782,2599,25427968,0.01408070558682084,0.5759607553482056,120.69,768,0.2,0.9344562043622137,0.09572458267211914,-15.785807766020298,-0.15818871557712555,0.009366744,2.4164135456085205,-0.0004865043665631674,0.0003
98,9779,2626,25690112,0.01740936637361301,0.5676922798156738,117.01,776,0.2,0.8027129770815372,0.09463071823120117,-15.858082368969917,-0.15730465948581696,0.008070836,2.442286968231201,-0.0005973991746941465,0.0003
99,9778,2654,25952256,0.019892581913154572,0.5708913207054138,128.66,784,0.2,1.0504463885724544,0.08814477920532227,-15.935909025371075,-0.15743005275726318,0.0084579345,2.4730796813964844,-0.0008779044310358586,0.0003
100,9775,2681,26214400,0.018068107136059552,0.6285596489906311,124.33,792,0.2,0.8314357145130634,0.0930328369140625,-16.018737882375717,-0.16051964461803436,0.0068951896,2.5034806728363037,-0.0005541638438444352,0.0003
101,9771,2709,26476544,0.017575862832018174,0.588434487581253,125.17,800,0.2,0.9272788853198289,0.10410261154174805,-16.102593392133713,-0.16222450137138367,0.007824327,2.5340211391448975,-0.0005506921102096385,0.0003
102,9768,2737,26738688,0.01526559898047708,0.5416349768638611,119.8,808,0.2,0.8086251559853553,0.10120058059692383,-16.190522328019142,-0.16134655475616455,0.008543952,2.567944049835205,-0.001046308827426401,0.0003
103,9767,2764,27000832,0.016644344352243934,0.516006588935852,124.27,816,0.2,0.9730763699114323,0.10255002975463867,-16.26327347755432,-0.16127201914787292,0.00926389,2.5945115089416504,-0.0006033893205312779,0.0003
104,9764,2791,27262976,0.012784128150087781,0.48900657892227173,136.76,824,0.2,0.871277914494276,0.08764362335205078,-16.323712289333344,-0.1635405421257019,0.007656194,2.617144823074341,-0.0007910488066045218,0.0003
105,9763,2819,27525120,0.014194603521900717,0.5608835816383362,126.46,832,0.2,0.8027069380879402,0.09365606307983398,-16.386690244078636,-0.16299858689308167,0.009598732,2.6442151069641113,-0.0006128000613898621,0.0003
106,9758,2847,27787264,0.016803724196506664,0.5545142590999603,139.96,840,0.2,0.8430553521215916,0.09423065185546875,-16.465094923973083,-0.16423963010311127,0.008376277,2.67748761177063,-0.0006936267491255421,0.0003
107,9756,2874,28049408,0.019756576657528058,0.6184746026992798,138.44,848,0.2,0.991023603528738,0.09438467025756836,-16.550292804837227,-0.16495852172374725,0.008716578,2.711676597595215,-0.0007744169183752092,0.0003
108,9754,2902,28311552,0.01864076805213699,0.5436008870601654,126.29,856,0.2,0.7540709338709712,0.09302568435668945,-16.62588021159172,-0.16656816005706787,0.0073954044,2.7398502826690674,-0.0007778000340294966,0.0003
109,9753,2929,28573696,0.01515910739544779,0.49861520528793335,145.46,864,0.2,1.0398526117950677,0.09432172775268555,-16.69589039683342,-0.16726265847682953,0.007670615,2.770763635635376,-0.0009416703655915626,0.0003
110,9750,2957,28835840,0.016452201722131576,0.5607079267501831,126.21,872,0.2,0.9741816223412753,0.10081195831298828,-16.755211606621742,-0.1673990935087204,0.009276684,2.7918193340301514,-0.0007868822340242332,0.0003
111,9749,2984,29097984,0.02010397733101854,0.5695896744728088,123.56,880,0.2,0.7824518172815442,0.10691404342651367,-16.826934829354286,-0.16650831699371338,0.009211888,2.827634572982788,-0.0006547512793986243,0.0003
112,9748,3011,29360128,0.018756673009193037,0.6034842431545258,122.74,888,0.2,0.7829929846525192,0.1053915023803711,-16.906345188617706,-0.16751213371753693,0.009232408,2.8579986095428467,-0.0008124037949528429,0.0003
113,9745,3039,29622272,0.020538285607472062,0.5863414406776428,138.46,896,0.2,1.3251119013130666,0.09993219375610352,-16.972396925091743,-0.1682232916355133,0.009322021,2.8858447074890137,-0.0010483714795554988,0.0003
114,9740,3068,29884416,0.015224345748720225,0.551020622253418,119.75,904,0.2,0.9781836621835828,0.09386634826660156,-17.02835215628147,-0.17253336310386658,0.008450673,2.908658742904663,-0.0009627342842577491,0.0003
115,9737,3095,30146560,0.020250967834726907,0.553681343793869,128.45,912,0.2,1.0716493107378482,0.10581779479980469,-17.094978734850883,-0.1711689531803131,0.008597286,2.9424760341644287,-0.0006156124045446631,0.0003
116,9736,3123,30408704,0.016955103521468118,0.6243877410888672,142.87,920,0.2,1.1637105429917574,0.09966754913330078,-17.16187572479248,-0.17158815264701843,0.008948002,2.9708497524261475,-0.0008255360589828342,0.0003
117,9734,3150,30670848,0.01677616188680986,0.6094594299793243,130.36,928,0.2,0.8331227790564298,0.1012120246887207,-17.216114908456802,-0.17194052040576935,0.009521559,2.994431495666504,-0.0009998200957852532,0.0003
118,9733,3178,30932992,0.019857153980410658,0.5696039795875549,124.48,936,0.2,0.7280102476477623,0.11079549789428711,-17.28483109176159,-0.17208226025104523,0.008479906,3.030255079269409,-0.00046064118805588805,0.0003
119,9728,3206,31195136,0.01790548940334702,0.5500234365463257,125.1,944,0.2,1.0546491734310985,0.09462642669677734,-17.357588946819305,-0.17356383800506592,0.0071228426,3.0624070167541504,-0.0007384668515442172,0.0003
