time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/clip_range,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
2102,81,10096,21233664,0.0060755466,-0.12328186631202698,-12.099880337715149,0.0013526226739486447,0.0003,-0.00026206367010672693,0.38422322273254395,1.446202039718628,622,0.2,0.0687093734741211,150.5,1.2765979158878327
2129,82,10092,21495808,0.0066860165,-0.12127698957920074,-12.116847217082977,0.001969890393411333,0.0003,-0.00032247338185698027,0.436736524105072,1.4512507915496826,630,0.2,0.07610368728637695,165.5,1.4149136859923601
2156,83,10087,21757952,0.0053735017,-0.12192286550998688,-12.129813827574253,0.001677122977525869,0.0003,0.0001760783511599584,0.4493187665939331,1.4562638998031616,638,0.2,0.07703542709350586,151.08,1.3069689358770846
2183,84,10083,22020096,0.0069003813,-0.12233711779117584,-12.150857016444206,0.0018613688062032452,0.0003,1.4081447261560243e-06,0.4352484941482544,1.4648000001907349,646,0.2,0.07830953598022461,149.17,1.2285985249280928
2211,85,10077,22282240,0.007198837,-0.12208041548728943,-12.17209006845951,0.0016101167566375807,0.0003,0.0005559818437177455,0.47562938928604126,1.4705582857131958,654,0.2,0.07748556137084961,149.73,1.2626871134340762
2238,86,10073,22544384,0.007431158,-0.12209126353263855,-12.202410630881786,0.002170048404877889,0.0003,0.0007681641413910256,0.4284883141517639,1.4798846244812012,662,0.2,0.08005857467651367,154.34,1.3697616344690322
2264,87,10070,22806528,0.006755842,-0.12425405532121658,-12.231191650032997,0.002028462403359299,0.0003,6.869983735668939e-06,0.594659686088562,1.4883524179458618,670,0.2,0.0799555778503418,157.38,1.3686917266249656
2290,88,10071,23068672,0.020549977,-0.12300489097833633,-12.244363689422608,0.0019704668258782474,0.0003,0.005124767297820654,0.4478389620780945,1.4917932748794556,673,0.2,0.075079345703125,151.81,1.3256809557974338
2318,89,10064,23330816,0.0062077735,-0.12455421686172485,-12.25296425074339,0.0016342644894393743,0.0003,-0.0004205865348012594,0.41345202922821045,1.4940730333328247,681,0.2,0.07583045959472656,144.76,1.2417625547200442
2344,90,10061,23592960,0.0069819894,-0.12379414588212967,-12.256146639585495,0.0016971481572909397,0.0003,-0.0006128925051598344,0.4979080557823181,1.49669349193573,689,0.2,0.07545757293701172,143.57,1.2988815937191247
2371,91,10057,23855104,0.0066080876,-0.12434346228837967,-12.28390584141016,0.0027115154416605947,0.0003,-0.0002487053420736629,0.4085485339164734,1.5069855451583862,697,0.2,0.07888031005859375,158.79,1.3805683709774166
2398,92,10055,24117248,0.0076242886,-0.12453614920377731,-12.309901215136051,0.0017418622337572742,0.0003,3.893174607583205e-05,0.45907002687454224,1.5145033597946167,705,0.2,0.08385038375854492,162.75,1.4314949215203523
2425,93,10051,24379392,0.0058005806,-0.12412746995687485,-12.323334828019142,0.0013265172920000623,0.0003,-0.0005274686786833627,0.5100043416023254,1.518095850944519,713,0.2,0.07174968719482422,167.26,1.5060292400419713
2452,94,10046,24641536,0.0051447945,-0.12633584439754486,-12.331090167164803,0.0019091231597485603,0.0003,-0.0005842555874551181,0.6143010854721069,1.5219773054122925,721,0.2,0.07421445846557617,147.73,1.2589484950900078
2479,95,10044,24903680,0.006820312,-0.12392671406269073,-12.350631296634674,0.0023754008561809314,0.0003,-0.0002161833901936916,0.4750940799713135,1.5302757024765015,729,0.2,0.08150291442871094,150.41,1.2901809461414815
2505,96,10042,25165824,0.006123401,-0.12544602155685425,-12.36899808049202,0.0017755575863702688,0.0003,-0.00027802422300737817,0.47880375385284424,1.5363163948059082,737,0.2,0.0782327651977539,164.01,1.4140583817660808
2532,97,10040,25427968,0.0063179806,-0.12523992359638214,-12.389854721724987,0.002242435388325248,0.0003,0.00021271760169838672,0.4998696446418762,1.542742371559143,745,0.2,0.08851099014282227,151.72,1.3382324863225221
2560,98,10034,25690112,0.005461106,-0.12524065375328064,-12.403185687959194,0.001319693756158813,0.0003,0.00010335159731766907,0.524595707654953,1.5474867820739746,753,0.2,0.07728433609008789,162.37,1.4049736934155226
2586,99,10033,25952256,0.006902505,-0.12594600021839142,-12.411965541541576,0.0016762069481046638,0.0003,-0.0001043480156113219,0.48271387815475464,1.552342176437378,761,0.2,0.07582855224609375,163.05,1.460191461071372
2613,100,10029,26214400,0.005852303,-0.12726211547851562,-12.420305415987968,0.0018884727587646921,0.0003,-0.0003121813169855159,0.4811263680458069,1.5569061040878296,769,0.2,0.07634496688842773,175.66,1.5609256802499294
2640,101,10028,26476544,0.005837364,-0.12569934129714966,-12.42898328602314,0.0014615943055105163,0.0003,-0.00025574468600098044,0.5295485854148865,1.5628025531768799,777,0.2,0.06747198104858398,165.78,1.4871919848024846
2667,102,10025,26738688,0.0066323327,-0.1252908557653427,-12.448430210351944,0.0016059728886830271,0.0003,0.0001993491969187744,0.5140469670295715,1.5706101655960083,785,0.2,0.08161354064941406,180.6,1.6542401444911956
2694,103,10020,27000832,0.00778336,-0.12321633845567703,-12.470498822629452,0.0017813999629652244,0.0003,0.00020409242188179633,0.47410881519317627,1.5779261589050293,793,0.2,0.08111286163330078,161.98,1.5626591400057077
2721,104,10018,27262976,0.00676716,-0.12670563161373138,-12.504000633955002,0.002329197389371984,0.0003,-1.823781531129498e-05,0.43992531299591064,1.5887830257415771,801,0.2,0.09373855590820312,175.45,1.6279656766355037
2747,105,10017,27525120,0.0066027725,-0.12499381601810455,-12.522656992077827,0.0016137295988301048,0.0003,-0.00028872172833871446,0.49318403005599976,1.5924084186553955,809,0.2,0.07751226425170898,152.99,1.3020324643701315
2774,106,10016,27787264,0.0068738367,-0.12677259743213654,-12.542564027011395,0.0017560889727974427,0.0003,0.00014604584157495992,0.47324520349502563,1.6015568971633911,817,0.2,0.07504510879516602,165.55,1.5499254149198531
2801,107,10011,28049408,0.007311523,-0.1280297338962555,-12.573935903608799,0.0026959232454828452,0.0003,5.090192735224264e-05,0.3943518400192261,1.6110159158706665,825,0.2,0.09148120880126953,159.17,1.3808298775553702
2828,108,10010,28311552,0.0057934946,-0.12952576577663422,-12.5946996062994,0.002099683213600656,0.0003,-0.0002465315378685773,0.4422515034675598,1.6178349256515503,833,0.2,0.07855749130249023,152.18,1.3301726467907429
2854,109,10008,28573696,0.005537308,-0.12724792957305908,-12.60214115679264,0.001661965745370253,0.0003,7.208242277556565e-05,0.5164032876491547,1.6188080310821533,841,0.2,0.07440471649169922,144.39,1.2500676874816419
2881,110,10007,28835840,0.008345909,-0.1288241446018219,-12.61155055463314,0.0020560196362566785,0.0003,-0.00022053137217881158,0.40690845251083374,1.6245033740997314,849,0.2,0.08406925201416016,146.19,1.2775420805811881
2908,111,10004,29097984,0.0062125428,-0.12779371440410614,-12.626689776778221,0.0018655790827324381,0.0003,-8.342234968949924e-05,0.4776419401168823,1.6315354108810425,857,0.2,0.07656335830688477,163.02,1.4539072132110595
2935,112,10000,29360128,0.0060242303,-0.1267695277929306,-12.637639954686165,0.002230658927146578,0.0003,3.294861789981951e-05,0.45780664682388306,1.6374201774597168,865,0.2,0.08391523361206055,159.36,1.405092535018921
2962,113,9998,29622272,0.007254034,-0.12795431911945343,-12.646697871387005,0.0018378262147962232,0.0003,-0.00021044551431259606,0.4888293743133545,1.6403286457061768,873,0.2,0.08412885665893555,149.02,1.3236571830511092
2989,114,9997,29884416,0.006189196,-0.1269626021385193,-12.663603007793427,0.0023342613585555227,0.0003,0.00017878350718092406,0.4837149977684021,1.6484723091125488,881,0.2,0.08345985412597656,150.88,1.283738365471363
3016,115,9994,30146560,0.007815667,-0.1278945505619049,-12.684027463197708,0.00200372791459813,0.0003,0.0003475717635410547,0.4900939464569092,1.6562387943267822,889,0.2,0.08506488800048828,165.35,1.4938645954430103
3043,116,9989,30408704,0.007095482,-0.12687206268310547,-12.718185663223267,0.002681454861885868,0.0003,0.0001874820381999598,0.4774530529975891,1.6663861274719238,897,0.2,0.08632898330688477,153.89,1.3979822450131179
3070,117,9988,30670848,0.0072565284,-0.12980416417121887,-12.73259074985981,0.0017673703214313718,0.0003,-0.0003447516633059422,0.4807594418525696,1.671602487564087,905,0.2,0.07972431182861328,161.34,1.4013978420197963
3097,118,9987,30932992,0.007131623,-0.12837287783622742,-12.739457957446575,0.0017234974993698415,0.0003,-3.7777319448650815e-05,0.5189555287361145,1.6741033792495728,913,0.2,0.07831859588623047,156.55,1.4114377610385418
3123,119,9986,31195136,0.00894537,-0.1267981231212616,-12.75025575608015,0.002363179861276876,0.0003,6.10120205237763e-05,0.509121835231781,1.6806246042251587,921,0.2,0.09402275085449219,153.0,1.3102263129502534
3150,120,9983,31457280,0.0059550297,-0.12966978549957275,-12.758196949958801,0.0021819008943566587,0.0003,0.0003034287501577637,0.5072150826454163,1.6834256649017334,929,0.2,0.08536052703857422,145.4,1.299894117936492
3178,121,9980,31719424,0.0073706973,-0.12629561126232147,-12.75935609638691,0.0016839570871525211,0.0003,0.00087772724828028,0.5082699060440063,1.6857343912124634,937,0.2,0.08920955657958984,157.32,1.4882649370282888
3205,122,9978,31981568,0.0073962663,-0.1258697807788849,-12.764185264706612,0.0017350280058963108,0.0003,0.0004883382648586121,0.5022305548191071,1.690109133720398,945,0.2,0.08481216430664062,153.58,1.339853152781725
3231,123,9977,32243712,0.006859234,-0.12814320623874664,-12.770405225455761,0.0018025147619482595,0.0003,-0.0001152420934431575,0.4952552914619446,1.6945395469665527,953,0.2,0.08240890502929688,155.54,1.3507233776524663
3258,124,9975,32505856,0.0072181663,-0.12725745141506195,-12.777940772473812,0.0018250637440360151,0.0003,0.00012726686281894217,0.5212681889533997,1.6995484828948975,961,0.2,0.07881641387939453,156.95,1.363119667470455
3286,125,9971,32768000,0.008983294,-0.1236453503370285,-12.794243149459362,0.0020791268625544035,0.0003,0.0002484672090758977,0.4951716661453247,1.7058757543563843,969,0.2,0.08740043640136719,155.3,1.3760285998880863
