time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/std,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
2084,10186,21233664,81,-0.12328186631202698,-0.00026206367010672693,0.0060755466,0.0687093734741211,622,0.0013526226739486447,0.0003,-12.099880337715149,0.2,1.446202039718628,0.38422322273254395,150.5,1.2765979158878327
2111,10182,21495808,82,-0.12127698957920074,-0.00032247338185698027,0.0066860165,0.07610368728637695,630,0.001969890393411333,0.0003,-12.116847217082977,0.2,1.4512507915496826,0.436736524105072,165.5,1.4149136859923601
2137,10179,21757952,83,-0.12192286550998688,0.0001760783511599584,0.0053735017,0.07703542709350586,638,0.001677122977525869,0.0003,-12.129813827574253,0.2,1.4562638998031616,0.4493187665939331,151.08,1.3069689358770846
2164,10174,22020096,84,-0.12233711779117584,1.4081447261560243e-06,0.0069003813,0.07830953598022461,646,0.0018613688062032452,0.0003,-12.150857016444206,0.2,1.4648000001907349,0.4352484941482544,149.17,1.2285985249280928
2190,10171,22282240,85,-0.12208041548728943,0.0005559818437177455,0.007198837,0.07748556137084961,654,0.0016101167566375807,0.0003,-12.17209006845951,0.2,1.4705582857131958,0.47562938928604126,149.73,1.2626871134340762
2217,10166,22544384,86,-0.12209126353263855,0.0007681641413910256,0.007431158,0.08005857467651367,662,0.002170048404877889,0.0003,-12.202410630881786,0.2,1.4798846244812012,0.4284883141517639,154.34,1.3697616344690322
2243,10163,22806528,87,-0.12425405532121658,6.869983735668939e-06,0.006755842,0.0799555778503418,670,0.002028462403359299,0.0003,-12.231191650032997,0.2,1.4883524179458618,0.594659686088562,157.38,1.3686917266249656
2270,10161,23068672,88,-0.12300489097833633,0.005124767297820654,0.020549977,0.075079345703125,673,0.0019704668258782474,0.0003,-12.244363689422608,0.2,1.4917932748794556,0.4478389620780945,151.81,1.3256809557974338
2296,10158,23330816,89,-0.12455421686172485,-0.0004205865348012594,0.0062077735,0.07583045959472656,681,0.0016342644894393743,0.0003,-12.25296425074339,0.2,1.4940730333328247,0.41345202922821045,144.76,1.2417625547200442
2323,10154,23592960,90,-0.12379414588212967,-0.0006128925051598344,0.0069819894,0.07545757293701172,689,0.0016971481572909397,0.0003,-12.256146639585495,0.2,1.49669349193573,0.4979080557823181,143.57,1.2988815937191247
