time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/approx_kl,train/loss,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/std
3400,153,11796,40108032,-17.492197334766388,132.38,0.2,0.1054983139038086,0.008927304,-0.1746772974729538,0.8800374952703715,1204,0.010117434001585934,-0.0005403371678767144,0.554181307554245,0.0003,3.2735369205474854
3428,154,11774,40370176,-17.537515178322792,116.69,0.2,0.0921783447265625,0.007065356,-0.1768660694360733,0.7786688620783389,1212,0.007624013669556007,-0.0005774916699010646,0.5939011871814728,0.0003,3.2917978763580322
3456,155,11755,40632320,-17.58034248650074,115.1,0.2,0.0867929458618164,0.007892106,-0.17666365206241608,0.7150022508203984,1220,0.010003865045291604,-0.0009614006262381736,0.5282483398914337,0.0003,3.3169121742248535
3485,156,11732,40894464,-17.629330575466156,128.76,0.2,0.1163482666015625,0.008382655,-0.1757378727197647,0.830573872923851,1228,0.01246053906652378,-0.00023728890846541617,0.5685034096240997,0.0003,3.3420236110687256
3513,157,11713,41156608,-17.686503425240517,133.7,0.2,0.09913301467895508,0.00681704,-0.17744511365890503,-16.130094947814943,1236,0.014361828485562,-0.0006616114401367668,0.5228767991065979,0.0003,3.3757669925689697
3542,158,11692,41418752,-17.581101179122925,130.3,0.2,0.12176084518432617,0.009875612,-0.027782365679740906,-28.438169755935668,1244,1.774707424454391,-0.01194428007966053,0.004152774810791016,0.0003,3.28717303276062
3570,159,11674,41680896,-17.382200852036476,130.23,0.2,0.20343303680419922,0.016307727,-0.11817701160907745,-34.84678377151489,1252,0.9716723300516605,-0.024389839251853118,0.06400060653686523,0.0003,3.1638834476470947
3599,160,11652,41943040,-17.166239500045776,129.23,0.2,0.20291996002197266,0.016425554,-0.1304818093776703,-37.630700702667234,1260,0.7225478892214596,-0.023558888834486424,0.1710900068283081,0.0003,3.0444695949554443
3628,161,11633,42205184,-16.949956476688385,121.88,0.2,0.19287109375,0.016153362,-0.14153361320495605,-32.3067449092865,1268,0.578344187233597,-0.02155961342759838,0.3109910488128662,0.0003,2.931413173675537
3656,162,11613,42467328,-16.72793537378311,125.7,0.2,0.18831443786621094,0.015962377,-0.14753267168998718,-29.220028347969055,1276,0.45470516034401953,-0.021681749668459815,0.4571128487586975,0.0003,2.8222413063049316
3685,163,11594,42729472,-16.505781278014183,110.03,0.2,0.18079090118408203,0.015573322,-0.1558343470096588,-22.872331404685973,1284,0.35200266004540026,-0.0216794017887878,0.5329619348049164,0.0003,2.7191622257232666
3714,164,11573,42991616,-16.2856704890728,134.34,0.2,0.16664743423461914,0.014519397,-0.1598408967256546,-25.630955305099487,1292,0.29446910228580236,-0.020854214547398442,0.5904465019702911,0.0003,2.620342969894409
3743,165,11555,43253760,-16.061671018600464,133.94,0.2,0.1581711769104004,0.014114346,-0.16057372093200684,-22.985613746643068,1300,0.23643880046438426,-0.02008206983737182,0.6134476065635681,0.0003,2.5245487689971924
3771,166,11536,43515904,-15.834903180599213,97.2,0.2,0.1547250747680664,0.014703603,-0.16308973729610443,-14.410287573337556,1308,0.19422918220516294,-0.019553356285541668,0.6194832623004913,0.0003,2.4332940578460693
3800,167,11517,43778048,-15.607169829308987,113.27,0.2,0.15439319610595703,0.014042635,-0.16446557641029358,-15.328427097797395,1316,0.15795757109299302,-0.019406333010010712,0.6489866971969604,0.0003,2.3467414379119873
