time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/std,train/loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
16515072,10342,1596,63,0.00526781,1.5299152135849,-0.12771517038345337,0.2,-0.0007733822321824846,496,0.0022041480187908746,-12.728436835110188,0.0003,0.39990484714508057,0.05469799041748047,1.0812349513545632,144.01
16777216,10331,1623,64,0.00687555,1.5369222164154053,-0.1284548044204712,0.2,-0.0006394695337803569,504,0.0029066654988127993,-12.752341717481613,0.0003,0.33461320400238037,0.0659036636352539,1.076840568780899,143.85
17039360,10324,1650,65,0.0062805642,1.547672986984253,-0.12921205163002014,0.2,-0.001252552665391704,512,0.0034404349298711168,-12.785495191812515,0.0003,0.5968931615352631,0.06277608871459961,0.9469817413389683,122.53
17301504,10314,1677,66,0.006745998,1.5566229820251465,-0.1276041865348816,0.2,-0.0009077049894585798,520,0.0037222867522359593,-12.816053047776222,0.0003,0.5092526078224182,0.06497526168823242,0.970869410932064,134.18
17563648,10306,1704,67,0.0062357746,1.5658665895462036,-0.12753382325172424,0.2,-0.000881265189491387,528,0.004014163623651257,-12.85010690242052,0.0003,0.5143309831619263,0.06465435028076172,1.0411011010408402,138.18
17825792,10297,1731,68,0.0060038753,1.5758062601089478,-0.12987850606441498,0.2,-0.00019481689923850354,536,0.0032057910138973966,-12.887172900140285,0.0003,0.4847242832183838,0.06902074813842773,1.097984083890915,147.69
18087936,10289,1757,69,0.0060688104,1.5858566761016846,-0.1295802742242813,0.2,-0.00017732434571371414,544,0.00293917807903199,-12.925896614789963,0.0003,0.39577150344848633,0.07314109802246094,1.1403266750276089,147.23
18350080,10283,1784,70,0.0054592397,1.5920323133468628,-0.1296541541814804,0.2,-0.0005317463132996636,552,0.0036886187954223715,-12.946686714887619,0.0003,0.4326130747795105,0.07466888427734375,1.1463157553225756,146.41
18612224,10273,1811,71,0.006512463,1.6014339923858643,-0.13036981225013733,0.2,-0.00020493931151577272,560,0.004731852724944474,-12.972398288547993,0.0003,0.5370742082595825,0.07061147689819336,1.1968127213791013,134.86
18874368,10272,1837,72,0.011750279,1.602013349533081,-0.12891478836536407,0.2,0.0014144761870349093,561,0.004894795594736934,-12.984743527003697,0.0003,0.570244550704956,0.04459926060267857,1.0510445354878903,130.2
19136512,10261,1864,73,0.0059993574,1.6121712923049927,-0.13072073459625244,0.2,-0.0004155724427619134,569,0.00454101552713837,-13.014793686568737,0.0003,0.48198485374450684,0.06896734237670898,0.9903849676996469,128.34
19398656,10254,1891,74,0.005825459,1.6208728551864624,-0.13086161017417908,0.2,-9.496523352936492e-05,577,0.004113934217457427,-13.047788977622986,0.0003,0.4835525155067444,0.07080936431884766,1.0222507635504008,133.85
19660800,10245,1919,75,0.0066572586,1.6301515102386475,-0.12975254654884338,0.2,8.283124725494417e-05,585,0.0037751403815491358,-13.08068810403347,0.0003,0.5266132056713104,0.07853174209594727,1.0094690898060799,133.69
19922944,10238,1945,76,0.0059966594,1.6438032388687134,-0.1322525143623352,0.2,-0.0004938165952808049,593,0.004176909616944613,-13.12585273385048,0.0003,0.3809508681297302,0.07423019409179688,0.9637479154765606,133.92
20185088,10229,1973,77,0.0066069635,1.6546465158462524,-0.13226884603500366,0.2,-0.0002923300685324648,601,0.004477764057810418,-13.16862590610981,0.0003,0.4704856872558594,0.07477617263793945,1.0992669519409537,119.59
20447232,10222,2000,78,0.0062714694,1.6694321632385254,-0.13337193429470062,0.2,-0.00043469797037687385,609,0.004795341044882662,-13.215962819755077,0.0003,0.555619478225708,0.06958436965942383,1.1315461552143098,156.64
20709376,10216,2027,79,0.006407153,1.676401972770691,-0.1326388418674469,0.2,-0.00043931416530540446,617,0.0032235284797934582,-13.249917723238468,0.0003,0.448886513710022,0.06683826446533203,0.9682171057164669,128.6
20971520,10208,2054,80,0.0053148256,1.6857377290725708,-0.13299565017223358,0.2,-0.00010289399779139785,625,0.0038043484200898092,-13.278145596385002,0.0003,0.4966474771499634,0.0740194320678711,0.9114713137596846,125.94
21233664,10202,2081,81,0.0060730893,1.693567156791687,-0.13388635218143463,0.2,-0.0006629280001106963,633,0.0031902080936561106,-13.303157672286034,0.0003,0.4318122863769531,0.07213497161865234,0.9523630533367395,131.05
21495808,10195,2108,82,0.0060845856,1.7046103477478027,-0.13586381077766418,0.2,-0.0006579767352832278,641,0.003885352700308431,-13.336451075971127,0.0003,0.4651368260383606,0.07764339447021484,0.9630966035276651,130.82
21757952,10190,2135,83,0.006284043,1.711369276046753,-0.13574238121509552,0.2,-0.00027056212229581433,649,0.0033844036152004264,-13.360624991357327,0.0003,0.4397723078727722,0.07151317596435547,1.0688691653311253,134.27
22020096,10182,2162,84,0.0069941645,1.72091543674469,-0.13473692536354065,0.2,-0.0005875738520444429,657,0.003804854437476024,-13.386775620281696,0.0003,0.3695090413093567,0.07346916198730469,1.0275976330041885,136.84
22282240,10176,2189,85,0.00603824,1.730576515197754,-0.13482576608657837,0.2,-0.0006335850475807092,665,0.002888910014007706,-13.413548357784748,0.0003,0.467193067073822,0.07041025161743164,1.015740865394473,137.74
22544384,10170,2216,86,0.007021457,1.743209958076477,-0.1375802755355835,0.2,-0.0016387159889745817,673,0.003319646760246542,-13.448887690901756,0.0003,0.5605733096599579,0.06840896606445312,1.1129918532073497,147.54
22806528,10165,2243,87,0.0065467604,1.7502046823501587,-0.13424120843410492,0.2,-0.0003604938081025466,681,0.0033927430649782764,-13.47650721669197,0.0003,0.38933444023132324,0.06853580474853516,1.164331295490265,154.1
23068672,10159,2270,88,0.006269821,1.7593202590942383,-0.13505059480667114,0.2,-0.0005219191662035882,689,0.0041839760160655715,-13.500943534076214,0.0003,0.4350777864456177,0.0745549201965332,1.118703971579671,147.3
23330816,10154,2297,89,0.006349151,1.7681019306182861,-0.1347133219242096,0.2,-0.0005020531316404231,697,0.002610951374663273,-13.526417210698128,0.0003,0.42134249210357666,0.06759071350097656,1.14790706589818,153.1
23592960,10149,2324,90,0.00670046,1.7780686616897583,-0.13597552478313446,0.2,-0.0004259986712895625,705,0.00254236072578351,-13.555906385183334,0.0003,0.4195699095726013,0.06476449966430664,1.1132353606820107,148.55
23855104,10143,2351,91,0.006519791,1.7872188091278076,-0.1350204348564148,0.2,-0.0006275524797274556,713,0.003792172014073003,-13.585047155618668,0.0003,0.40507787466049194,0.07108306884765625,0.9161092520877719,130.64
24117248,10140,2378,92,0.006804633,1.7975400686264038,-0.13446654379367828,0.2,-0.0003919096157005697,721,0.004189543735265033,-13.611793622374535,0.0003,0.45674461126327515,0.08086585998535156,1.0989400801062583,152.66
24379392,10135,2405,93,0.005980772,1.8087449073791504,-0.13689564168453217,0.2,-0.000654253175980557,729,0.004605629030265845,-13.642119772732258,0.0003,0.46367233991622925,0.07531595230102539,1.050302687138319,142.89
24641536,10131,2432,94,0.0066935336,1.8168891668319702,-0.13676638901233673,0.2,-0.0005043592591391644,737,0.00439918886149826,-13.67085576057434,0.0003,0.602682888507843,0.07664823532104492,1.0551416133344174,136.88
24903680,10124,2459,95,0.007032457,1.8263964653015137,-0.13811002671718597,0.2,-0.0008150668827511254,745,0.004651903589547146,-13.698978841304779,0.0003,0.4404010772705078,0.06930732727050781,1.2631027688831091,164.57
25165824,10121,2486,96,0.0060012955,1.8376542329788208,-0.13931764662265778,0.2,-0.0009322768719357555,753,0.003660793694507447,-13.73458844423294,0.0003,0.4496999979019165,0.07434988021850586,1.1223600542545318,151.85
25427968,10116,2513,97,0.0064298436,1.8522263765335083,-0.13975629210472107,0.2,-0.00023713077507636626,761,0.004964857869708794,-13.778386384248734,0.0003,0.5740466713905334,0.09733867645263672,1.0965889882296325,150.49
25690112,10111,2540,98,0.0061636376,1.8634742498397827,-0.1404092162847519,0.2,-0.0006308399019872013,769,0.0038764965393056627,-13.815793491899967,0.0003,0.44460737705230713,0.07489728927612305,1.1731745451688766,148.71
25952256,10107,2567,99,0.0069509996,1.8731657266616821,-0.13787560164928436,0.2,-0.0006040942430445284,777,0.003643150059360778,-13.84433976560831,0.0003,0.42314302921295166,0.07865190505981445,1.1456291675567627,153.92
26214400,10101,2595,100,0.0073203268,1.8785138130187988,-0.14099808037281036,0.2,-0.0004789327622347628,785,0.0032369931886933045,-13.858632609248161,0.0003,0.4645889401435852,0.07848310470581055,1.1189387786388396,152.39
26476544,10097,2622,101,0.007311899,1.8901678323745728,-0.14036543667316437,0.2,-0.0004441042560756614,793,0.00382820752565749,-13.885712005198002,0.0003,0.4463876485824585,0.08642339706420898,1.150647817403078,153.96
26738688,10091,2649,102,0.008234303,1.901376485824585,-0.14033056795597076,0.2,-0.0006418076741283585,801,0.003838376604107907,-13.921039879322052,0.0003,0.573701947927475,0.07886886596679688,1.2080072727799416,158.05
27000832,10087,2676,103,0.0072906236,1.9139478206634521,-0.13880178332328796,0.2,-4.363541665952653e-05,809,0.0044880521527375095,-13.956632189452648,0.0003,0.4493579864501953,0.08733224868774414,1.1081747890263796,147.51
27262976,10081,2704,104,0.0071397442,1.9300563335418701,-0.1390567421913147,0.2,0.00024879291049728636,817,0.003657920053228736,-13.998384959995747,0.0003,0.4110005497932434,0.08215570449829102,1.4717348103225232,154.58
27525120,10077,2731,105,0.011529585,1.9455910921096802,-0.1390504390001297,0.2,0.00196397553463612,825,0.005229643775237491,-14.04698982834816,0.0003,0.4444240927696228,0.09388113021850586,1.2449883868545293,152.1
27787264,10071,2758,106,0.006666816,1.9581693410873413,-0.14174075424671173,0.2,2.2921755316929193e-05,833,0.0051082344052701956,-14.088157340884209,0.0003,0.5042412579059601,0.08789205551147461,1.0530870530009269,139.5
28049408,10068,2785,107,0.0078348005,1.9749138355255127,-0.14011329412460327,0.2,-0.00011464633962532389,841,0.0053387635398394195,-14.136372461915016,0.0003,0.5514220893383026,0.08258867263793945,0.9442493342608214,130.21
28311552,10064,2813,108,0.0069663655,1.987932562828064,-0.1430356651544571,0.2,-0.0003623347097345686,849,0.004160401054832619,-14.18059940636158,0.0003,0.46878737211227417,0.0748300552368164,0.9652549254894257,133.58
