rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/loss,train/explained_variance,train/std,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range
122.63,14052,0.8727736145630479,27787264,53,1977,0.10331439971923828,-0.1459415853023529,0.545846551656723,1.988196611404419,416,0.0003,-0.000189837335710763,0.0087323375,0.02071961925321375,-14.649189446121454,0.2
128.89,14027,1.0435588145256043,28311552,54,2018,0.10147690773010254,-0.14601503312587738,0.5495124757289886,2.026820421218872,424,0.0003,-8.475198637825088e-05,0.009311121,0.02120825755991973,-14.775811105966568,0.2
137.53,14003,1.0481041084975005,28835840,55,2059,0.10235714912414551,-0.14772136509418488,0.5586206316947937,2.058532238006592,432,0.0003,-0.00010360209421378386,0.008947939,0.020673407987487735,-14.887114278972149,0.2
116.04,13980,0.8665448619425297,29360128,56,2100,0.11818909645080566,-0.1486000418663025,0.5411584973335266,2.095309257507324,440,0.0003,-0.00017562937659931777,0.0095916,0.02861879793999833,-15.001455292105675,0.2
121.73,13956,0.7720424552448094,29884416,57,2141,0.11252951622009277,-0.1484147012233734,0.5942738652229309,2.133279800415039,448,0.0003,-0.0003231605494420364,0.009938374,0.027031924477341818,-15.124606031924486,0.2
123.8,13933,0.7027703224122525,30408704,58,2182,0.10928964614868164,-0.14961999654769897,0.5555739104747772,2.168897867202759,456,0.0003,-3.074887683851557e-05,0.009435905,0.028921547091158573,-15.238652803003788,0.2
125.86,13912,0.7256727527454495,30932992,59,2223,0.11504650115966797,-0.15242350101470947,0.5892447233200073,2.2070322036743164,464,0.0003,-0.000173617762811773,0.010971351,0.023499099697801284,-15.356184270232916,0.2
110.59,13892,0.8207988800108432,31457280,60,2264,0.1132969856262207,-0.1498546451330185,0.5680970847606659,2.2518014907836914,472,0.0003,5.850024922438024e-05,0.011790207,0.023944933873281116,-15.483946587890387,0.2
110.02,13873,0.6101985043659807,31981568,61,2305,0.11106371879577637,-0.15371482074260712,0.5785253942012787,2.2895171642303467,480,0.0003,-0.0003681495586533856,0.009923833,0.02791320592223201,-15.60678355395794,0.2
130.51,13854,0.8275378413498402,32505856,62,2346,0.11798477172851562,-0.15672235190868378,0.5770358741283417,2.3331921100616455,488,0.0003,-0.00016212851824093377,0.01091885,0.028439674562832806,-15.730928517878056,0.2
118.07,13836,0.7846784090995789,33030144,63,2387,0.12331843376159668,-0.1566459983587265,0.6075115501880646,2.384089231491089,496,0.0003,-0.0001398179159650681,0.010779929,0.026545607008301886,-15.870846085250378,0.2
118.27,13816,0.7666427314653993,33554432,64,2428,0.11224198341369629,-0.15639373660087585,0.49666720628738403,2.427251100540161,504,0.0003,-5.051028256275458e-05,0.011306153,0.028173441482067574,-16.002669643610716,0.2
118.96,13799,0.7248183838650584,34078720,65,2469,0.11477899551391602,-0.16080546379089355,0.5484963357448578,2.4725120067596436,512,0.0003,-0.00031020657138469687,0.0103826225,0.028957174487004522,-16.12938505411148,0.2
119.69,13785,0.6163827843219042,34603008,66,2510,0.12218427658081055,-0.16103745996952057,0.6463871896266937,2.527886390686035,520,0.0003,-0.0001136161595240992,0.0111755915,0.03141960323409876,-16.27318673580885,0.2
135.31,13771,1.058856620155275,35127296,67,2550,0.11328244209289551,-0.16102902591228485,0.5710774958133698,2.5771496295928955,528,0.0003,5.756852920058009e-05,0.0101985,0.030309085399494506,-16.408899545669556,0.2
