time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl,train/std,train/n_updates,train/clip_fraction,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
16777216,10237,64,1638,-0.00034098104151780717,-0.11863576620817184,0.2,0.007173557,1.3429216146469116,504,0.06952381134033203,0.0003,0.4529062509536743,0.001669842989940662,-11.814310476183891,138.36,1.1000826907902956
17039360,10229,65,1665,-0.000922646595427068,-0.12119860202074051,0.2,0.006822887,1.3476642370224,512,0.056670188903808594,0.0003,0.4301166534423828,0.0015662370824429672,-11.827912472188473,136.86,1.0750625148415565
17301504,10218,66,1693,-0.0005330127182787692,-0.11919624358415604,0.2,0.0053651286,1.3549911975860596,520,0.060402870178222656,0.0003,0.4542083144187927,0.0018255513332405826,-11.852540001273155,142.09,1.0677791780233383
17563648,10211,67,1719,-0.0004101806653125095,-0.11956054717302322,0.2,0.0055273455,1.3607906103134155,528,0.0619654655456543,0.0003,0.4493408799171448,0.001814943493627652,-11.878365010023117,135.08,1.067082585990429
17825792,10202,68,1747,-0.0005674375458966097,-0.11875826865434647,0.2,0.0063036103,1.3667128086090088,536,0.06101083755493164,0.0003,0.4049559235572815,0.00224964027711394,-11.900173544883728,134.84,1.021894306987524
18087936,10195,69,1774,-0.00046684052313139546,-0.11901962012052536,0.2,0.009455788,1.3733805418014526,544,0.06972789764404297,0.0003,0.3906378149986267,0.0021625605586450547,-11.923453278839588,123.92,1.0010849689692258
18350080,10187,70,1801,-0.0006565709527421859,-0.11953798681497574,0.2,0.0063083256,1.3750340938568115,552,0.05895185470581055,0.0003,0.4478365182876587,0.0017754935570337693,-11.934379115700722,124.89,0.9698915724456311
18612224,10179,71,1828,-0.0007328602087000036,-0.11974234133958817,0.2,0.005169264,1.3778988122940063,560,0.06393623352050781,0.0003,0.4544304609298706,0.0018414783235130017,-11.936818197369576,130.83,1.0517352241277695
18874368,10171,72,1855,-0.00041998193046310917,-0.1207103356719017,0.2,0.0059764115,1.384629726409912,568,0.06818246841430664,0.0003,0.4281594753265381,0.0020352833980723517,-11.957514367997646,143.96,1.1489311264455317
19136512,10161,73,1883,-0.0007806085222910042,-0.12095756083726883,0.2,0.0066501214,1.3857637643814087,576,0.06807518005371094,0.0003,0.44337034225463867,0.001952135958163126,-11.963044054806232,124.22,1.0092841922491789
19398656,10152,74,1910,-0.0006803061178288772,-0.11993324756622314,0.2,0.0060212933,1.390621304512024,584,0.07583236694335938,0.0003,0.35940098762512207,0.0017816108311308199,-11.971264749765396,143.67,1.1960601953417063
19660800,10143,75,1938,-0.0005619358885269321,-0.12046656012535095,0.2,0.0062447656,1.3944934606552124,592,0.06326723098754883,0.0003,0.47567611932754517,0.0016548725916436524,-11.982952706515789,124.02,1.0150940159335733
