time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/n_updates,train/clip_range,train/clip_fraction,train/std,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/policy_gradient_loss
13243,1108,14680064,56,440,0.2,0.061626434326171875,1.4501234292984009,0.004248915132848197,1.0557226421311499,139.02,0.37914562225341797,-0.12516196072101593,0.0003,0.005261285,-12.357015319168568,-0.0006718972981616389
13220,1130,14942208,57,448,0.2,0.07445716857910156,1.463518738746643,0.005371578947233502,1.068087152093649,151.05,0.5166681408882141,-0.12496879696846008,0.0003,0.0070368247,-12.410228662192822,-0.00032804586726342677
13202,1151,15204352,58,456,0.2,0.06427240371704102,1.4742017984390259,0.005482798791490495,1.115399007573724,140.82,0.3905499577522278,-0.12596239149570465,0.0003,0.0061469683,-12.460522152483463,-0.0003812228278547991
13184,1173,15466496,59,464,0.2,0.06936407089233398,1.4806088209152222,0.004664660546040977,1.1361102409567685,156.69,0.4072319269180298,-0.12455865740776062,0.0003,0.0063980496,-12.49382883310318,-0.0005653602183883777
13166,1194,15728640,60,472,0.2,0.06651496887207031,1.4909783601760864,0.004133214186367695,1.11924288533628,141.49,0.41164207458496094,-0.12690842151641846,0.0003,0.0060619796,-12.526839099824429,-0.00017884730732475873
13152,1215,15990784,61,480,0.2,0.07304954528808594,1.5040380954742432,0.005486122910951963,1.1412012894824146,152.87,0.4627377390861511,-0.12563037872314453,0.0003,0.007257353,-12.576018713414669,-0.00019994827607661136
13136,1237,16252928,62,488,0.2,0.06716728210449219,1.5135122537612915,0.003927539431970217,0.9291217463836073,122.92,0.3945310711860657,-0.1271594911813736,0.0003,0.0052394615,-12.61615539342165,-0.00017346404547424754
13122,1258,16515072,63,496,0.2,0.07235479354858398,1.5252653360366821,0.006045430407539243,1.0835713084042071,146.52,0.48249292373657227,-0.12934760749340057,0.0003,0.0060050106,-12.661586806178093,-0.0003372709320501599
13106,1280,16777216,64,504,0.2,0.071929931640625,1.5368517637252808,0.005669546997523867,1.0418713004887104,139.76,0.4268074631690979,-0.12746219336986542,0.0003,0.006327863,-12.712350621819496,-6.18421695435245e-05
13091,1301,17039360,65,512,0.2,0.06705379486083984,1.548143982887268,0.004192758835415589,1.0073238319158555,136.65,0.3975963592529297,-0.12767529487609863,0.0003,0.00609691,-12.758288085460663,-0.0005814569622089039
13078,1322,17301504,66,520,0.2,0.06950235366821289,1.559098720550537,0.00483780531976663,1.129934394136071,158.28,0.43683648109436035,-0.12701043486595154,0.0003,0.0060825506,-12.801320932805538,-0.0003257018643125775
13065,1344,17563648,67,528,0.2,0.05814504623413086,1.5718194246292114,0.00475977873611555,1.1941765911877156,162.07,0.43795520067214966,-0.12816470861434937,0.0003,0.00609167,-12.845140524208546,-0.0005121880403748946
13053,1365,17825792,68,536,0.2,0.07135295867919922,1.5820488929748535,0.00418570329384238,1.0520994247496127,144.92,0.4962267279624939,-0.12842290103435516,0.0003,0.005751893,-12.884832166135311,-0.0005308538261488138
13040,1387,18087936,69,544,0.2,0.07139253616333008,1.5927138328552246,0.005484652376253507,1.1797782603651286,142.82,0.6088775396347046,-0.12760911881923676,0.0003,0.0067367577,-12.925424501299858,-0.0003287235595053062
13029,1408,18350080,70,552,0.2,0.08578920364379883,1.604541540145874,0.004539482821201091,0.9822580057010054,122.89,0.579630047082901,-0.13125227391719818,0.0003,0.007269785,-12.970662906765938,0.00048708211852499517
13018,1429,18612224,71,560,0.2,0.07415771484375,1.61626398563385,0.0050542962471809005,1.0070036283880472,127.6,0.3912734389305115,-0.13191016018390656,0.0003,0.0061630765,-13.01570700109005,-0.0009550302834213653
13008,1450,18874368,72,568,0.2,0.06556272506713867,1.6279075145721436,0.0049401992255297955,1.0694225524936336,136.38,0.4384493827819824,-0.1303449124097824,0.0003,0.0064907162,-13.0598975867033,-0.00035808249913316104
12998,1472,19136512,73,576,0.2,0.07114887237548828,1.6379517316818237,0.00447386513951642,1.043768545985222,139.47,0.4853385090827942,-0.13092787563800812,0.0003,0.005727904,-13.099887616932392,-0.0003107725415247842
12988,1493,19398656,74,584,0.2,0.07596731185913086,1.6486729383468628,0.005652326719427947,0.973219752907753,122.44,0.3823748826980591,-0.13192643225193024,0.0003,0.006270254,-13.138858579099178,-0.00047348120006063255
12978,1514,19660800,75,592,0.2,0.08393335342407227,1.6604820489883423,0.005349281404050998,0.9896462152898312,133.49,0.7213390171527863,-0.13167282938957214,0.0003,0.010916888,-13.177246235311031,0.002214714906131121
12968,1536,19922944,76,600,0.2,0.07706308364868164,1.6726032495498657,0.004202328882456641,0.9956281912326813,140.31,0.4759899377822876,-0.13216860592365265,0.0003,0.0072159986,-13.223255261778831,-0.0005942792254245433
12959,1557,20185088,77,608,0.2,0.07097911834716797,1.6846619844436646,0.004544559347777977,1.1198417609930038,139.42,0.4587861895561218,-0.13410890102386475,0.0003,0.0064634634,-13.26492254436016,-0.0002804995842780045
12949,1578,20447232,78,616,0.2,0.08087301254272461,1.6945797204971313,0.004877514085819712,0.9193046822398901,124.12,0.6581456959247589,-0.13341759145259857,0.0003,0.006859058,-13.303034514188766,-0.000323178103826649
12940,1600,20709376,79,624,0.2,0.06430530548095703,1.705726146697998,0.004686370770286885,0.9468946766853332,126.74,0.4496212601661682,-0.13337382674217224,0.0003,0.006472517,-13.34113572537899,-0.0006967943704694335
12931,1621,20971520,80,632,0.2,0.07381248474121094,1.7200086116790771,0.0045024972587270895,0.9364316279441118,125.8,0.3575563430786133,-0.13477766513824463,0.0003,0.006246971,-13.389054119586945,-0.00013449504422169412
