time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/value_loss,train/clip_fraction,train/std,train/entropy_loss,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
110,2859,10085,28835840,0.002337876033379871,0.08696651458740234,1.728319525718689,-13.118756294250488,855,0.006484528,-0.13361439108848572,0.4794788360595703,4.2431125621078536e-05,0.0003,0.2,143.08,1.2870930837839842
111,2886,10081,29097984,0.002502043829736067,0.08025693893432617,1.7331804037094116,-13.126622453331947,863,0.007875399,-0.13105927407741547,0.49516981840133667,-0.0005723077129005105,0.0003,0.2,154.44,1.4256291963905097
112,2913,10077,29360128,0.002864707901608199,0.0889272689819336,1.741400122642517,-13.141830056905746,871,0.006976392,-0.13294628262519836,0.4238726496696472,-0.00023704815157543635,0.0003,0.2,167.04,1.5599898099899292
113,2940,10075,29622272,0.0029568195959654986,0.09695100784301758,1.746315598487854,-13.157255329191685,879,0.00836681,-0.13432754576206207,0.39305615425109863,-0.0007499235002796922,0.0003,0.2,135.73,1.1993249264359473
114,2967,10071,29884416,0.0027803688353742473,0.09168720245361328,1.7534881830215454,-13.171286784112453,887,0.008387257,-0.13181330263614655,0.43008148670196533,0.00043968327690890874,0.0003,0.2,147.6,1.2975105952471495
115,2993,10069,30146560,0.0036482262057688786,0.08773231506347656,1.7623761892318726,-13.19261321425438,895,0.007687038,-0.13374018669128418,0.4702768325805664,-0.00017625880536797922,0.0003,0.2,142.8,1.3056415200978517
116,3021,10063,30408704,0.0021696083022106905,0.0818939208984375,1.7647749185562134,-13.203569509088993,903,0.0066304095,-0.1331396996974945,0.549068808555603,-0.0001650247713769204,0.0003,0.2,143.25,1.256271953880787
117,3048,10060,30670848,0.002275564466799551,0.08863544464111328,1.7705018520355225,-13.210311032831669,911,0.007456511,-0.13424469530582428,0.5557382106781006,0.0006592883510165848,0.0003,0.2,140.46,1.2467962785065174
118,3075,10057,30932992,0.0029742163724222337,0.08260011672973633,1.7795145511627197,-13.227879859507084,919,0.005978938,-0.13267138600349426,0.453896164894104,7.572486265416956e-05,0.0003,0.2,148.93,1.380228502973914
119,3102,10055,31195136,0.0024484531068083015,0.07824468612670898,1.7844260931015015,-13.239216588437557,927,0.006726221,-0.13316379487514496,0.45151519775390625,-0.0004987918864571839,0.0003,0.2,139.47,1.2411520747095346
120,3129,10051,31457280,0.002750461475443444,0.0890054702758789,1.79062819480896,-13.249386198818684,935,0.0068538697,-0.1316133737564087,0.4594874382019043,0.00023584366090290132,0.0003,0.2,141.78,1.2203973840177058
121,3156,10048,31719424,0.0025824249951256206,0.08769845962524414,1.7973235845565796,-13.263455286622047,943,0.0073047453,-0.13371677696704865,0.4343611001968384,0.00029392702845143504,0.0003,0.2,150.47,1.4046993892639876
