time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/std,train/clip_range,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
2024,10226,79,20709376,0.43799322843551636,624,-0.11965930461883545,-11.895519450306892,1.4038094282150269,0.2,0.0720968246459961,0.0003,0.0018016668909695,-0.00029071575818306883,0.006217673,1.3446382017433642,153.09
2051,10220,80,20971520,0.408092737197876,632,-0.12125591188669205,-11.909469589591026,1.4092094898223877,0.2,0.07866716384887695,0.0003,0.0022373739193426445,0.00017848678044174449,0.0058907797,1.330515694906935,156.63
2078,10214,81,21233664,0.4945255517959595,640,-0.12075182795524597,-11.922707922756672,1.4136475324630737,0.2,0.07779550552368164,0.0003,0.0015212080943456385,0.0003811989254245418,0.0061251554,1.3968097809702158,162.86
2105,10207,82,21495808,0.5271767973899841,648,-0.12008880823850632,-11.91608390957117,1.4129729270935059,0.2,0.0705728530883789,0.0003,0.0013965038724563783,-0.00021217723838162783,0.0064626727,1.2320698498189449,148.76
2132,10201,83,21757952,0.5190276801586151,656,-0.12116433680057526,-11.90929839015007,1.4130380153656006,0.2,0.06042003631591797,0.0003,0.0014866407900626655,-0.0006863794533273904,0.0060304822,1.3302289688587188,152.45
2159,10195,84,22020096,0.49179285764694214,664,-0.1180170327425003,-11.901808686554432,1.412982702255249,0.2,0.07387065887451172,0.0003,0.0016182416529773036,-0.00010284170548402471,0.006446174,1.2709401540458203,146.54
2186,10191,85,22282240,0.5201304256916046,672,-0.11948861181735992,-11.901088863611221,1.4158450365066528,0.2,0.08398818969726562,0.0003,0.001544089124763559,0.0004256994825482252,0.0065101893,1.3505066195130349,153.32
2213,10182,86,22544384,0.5119695961475372,680,-0.12016057968139648,-11.899155303835869,1.4172099828720093,0.2,0.06624221801757812,0.0003,0.0015708502814959502,-0.00014427335872824187,0.005887692,1.3100641813874245,153.0
2241,10173,87,22806528,0.5700978934764862,688,-0.1206006184220314,-11.901770949363708,1.4194990396499634,0.2,0.07378768920898438,0.0003,0.001329892175817804,0.00014583564006898087,0.006010065,1.4507554312050344,160.87
2272,10153,88,23068672,0.5033076703548431,696,-0.11907310783863068,-11.89367800951004,1.419697642326355,0.2,0.08098077774047852,0.0003,0.0016361994930775836,0.0001989072784454038,0.0070914794,1.3849699538946152,157.09
2302,10134,89,23330816,0.4597214460372925,704,-0.1176537275314331,-11.88900302350521,1.422308325767517,0.2,0.08314800262451172,0.0003,0.0019269264203103376,0.00012338181386439828,0.007944535,1.4798848901689052,164.72
2331,10118,90,23592960,0.4463843107223511,712,-0.1187024712562561,-11.886611253023148,1.4226819276809692,0.2,0.09354496002197266,0.0003,0.00213684926256974,0.0004232223391227308,0.008545353,1.4387521842122077,158.75
2359,10111,91,23855104,0.5198675990104675,720,-0.11858483403921127,-11.885962836444378,1.4250127077102661,0.2,0.0807962417602539,0.0003,0.0015498726615987835,-0.00014706865022162674,0.0076281806,1.3205557061731816,149.67
2386,10104,92,24117248,0.5608602166175842,728,-0.11867846548557281,-11.875582478940487,1.4262211322784424,0.2,0.06663131713867188,0.0003,0.0013440954835459706,-0.00023268064751391648,0.0061814226,1.3987727969139814,155.7
2414,10097,93,24379392,0.5238541662693024,736,-0.11723635345697403,-11.883054725825787,1.4307916164398193,0.2,0.0738377571105957,0.0003,0.0015206916323222686,0.00019614151460700668,0.006358943,1.381555400332436,157.49
